-------------------------------------------------------------------------------------------- benchmark: 163 tests --------------------------------------------------------------------------------------------
Name (time in ms)                  Min                    Max                   Mean              StdDev                 Median                 IQR            Outliers      OPS            Rounds  Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
test_T[11]                      7.6241 (1.57)         53.6923 (3.10)         14.7522 (1.28)       5.1816 (2.42)         13.7942 (1.31)       4.4151 (3.83)         13;6  67.7863 (0.78)        103           1
test_T[12]                      9.2549 (1.91)         28.4970 (1.65)         14.5427 (1.26)       2.8293 (1.32)         13.8756 (1.31)       2.5847 (2.24)         16;3  68.7632 (0.79)         65           1
test_T[13]                      5.0115 (1.04)         26.6922 (1.54)         13.7848 (1.20)       3.6253 (1.69)         13.5324 (1.28)       4.2516 (3.69)         20;5  72.5437 (0.84)         95           1
test_T[14]                      5.1211 (1.06)         29.5800 (1.71)         13.4806 (1.17)       4.3774 (2.04)         13.5437 (1.28)       4.4633 (3.88)         12;1  74.1809 (0.86)         57           1
test_T[15]                      5.4407 (1.12)         26.1723 (1.51)         12.4237 (1.08)       3.5455 (1.66)         13.4341 (1.27)       4.5395 (3.94)         28;1  80.4915 (0.93)         96           1
test_T[16]                      4.9987 (1.03)         27.8273 (1.61)         13.3499 (1.16)       3.8057 (1.78)         13.5706 (1.29)       4.5078 (3.91)         38;3  74.9070 (0.86)        142           1
test_T[17]                      7.2603 (1.50)         37.2859 (2.15)         15.4870 (1.34)       5.4170 (2.53)         14.9007 (1.41)       5.2230 (4.54)         10;2  64.5703 (0.74)         57           1
test_T[18]                      7.4734 (1.54)         28.4939 (1.65)         14.4960 (1.26)       3.1625 (1.48)         13.7286 (1.30)       3.7284 (3.24)         51;5  68.9846 (0.80)        192           1
test_T[19]                      5.1441 (1.06)         25.9977 (1.50)         13.9410 (1.21)       3.9898 (1.86)         13.5485 (1.28)       4.0049 (3.48)         21;9  71.7307 (0.83)         87           1
test_T[20]                      5.2561 (1.09)         22.9987 (1.33)         13.8324 (1.20)       3.3154 (1.55)         13.7529 (1.30)       4.4269 (3.84)         23;1  72.2942 (0.83)         86           1
